item_id,item_name,total_quantity_ordered,order_lines_count
,Fish Thali,64,64
,Chicken Sizzler,63,63
,Luchi,63,63
,Curd Vadai,62,62
,Masala Chai,62,62
,Butterscotch Ice Cream,61,61
,Idli Vada,61,61
,Paya Soup,61,61
,Rasmalai,61,61
,Chicken Tikka Roll,60,60
,Custard Apple Cream,60,60
,Grilled Mushrooms,60,60
,Mushroom Soup,60,60
,Paneer Pizza,60,60
,Apple Pie,59,59
,Chicken Wrap,59,59
,Thukpa,59,59
,Cheesy Bites,58,58
,Fried Fish,58,58
,Bread Pakora,58,19
,Blueberry Cheesecake,57,57
,Eggless Cake,57,57
,Chicken Butter Masala,56,56
,Omelette,55,55
,Paneer Parantha,55,55
,Cheese Momos,54,54
,Chicken Noodle,54,54
,Fried Rice,54,54
,Masala Poori,54,54
,Miso Soup,54,54
,Matka Lassi,54,21
,Bread Omelette,54,17
,Chicken Salad,53,53
,Peri Chicken,53,53
,Ravioli,53,53
,Peri Peri Chicken Steak,53,18
,Crispy Spinach Chicken,52,52
,Tandoori Pomfret,52,52
,Chocolate Pizza,51,51
,Khamiri Roti,51,16
,Chicken Bbq Burger,50,50
,Obbattu,50,50
,Tandoori Aloo,50,50
,Akki Rottis,49,49
,Cheesy Fries,49,49
,Chicken Manchow Soup,49,49
,Churros,49,49
,Fish Grill,49,49
,Honey Chilli Potatoes,49,49
,Mousse,49,49
,Paneer Tikka Pizza,49,49
,Rasgulla,49,49
,Shawarma Roll,49,49
,Lemon Tea,49,18
,Khao Suey,48,48
,Clear Soup,47,47
,Cosmopolitan,47,47
,Fish Fingers,47,47
,Murgh Patiala,47,47
,Potato Salad,47,47
,Benne Dosa,46,46
,Hot Wings,46,46
,Pork Momo,46,46
,Paneer Bhurji,45,45
,Tempura,45,45
,Veg Sandwich,45,45
,Matar Paneer,44,44
,Tikka,44,44
,Cheese Garlic Naan,44,16
,Elaichi Tea,44,15
,Sattu Paratha,44,14
,Aamras,43,43
,Chicken Burritos,43,43
,Courteous Staff,43,43
,Kit Kat Shake,43,43
,Noodle,43,43
,Phirni,43,43
,Bajji,42,42
,Dal Tadka,42,42
,Jumbo Prawns,42,42
,Kachori,42,42
,Kadhai Paneer,42,42
,Latte,42,42
,Mirchi Bajji,42,42
,Shotgun Chicken,42,42
,Chocolate Drink,42,14
,Masala Garlic Bread,42,13
,Cheesy Pizza,41,41
,Chilli Cheese Fries,41,41
,Egg Puff,41,41
,Hazelnut Cappuccino,41,41
,Mutton Seekh,41,41
,Peas Pulao,41,41
,Prawn Crackers,41,41
,White Sauce Pasta,41,41
,Methi Paratha,41,15
,Egg Paratha,41,12
,Egg Noodles,40,40
,English Breakfast,40,40
,Mutton Fry,40,40
,Rice Kheer,40,40
,Filter Coffee Ice Cream,40,13
,Brownie Chocolate,39,39
,Eclair,39,39
,Egg Pav Bhaji,39,39
,Icecream Cake,39,39
,Malpua,39,39
,Mango Ice Cream,39,39
,Paneer Satay,39,39
,Al Faham Chicken,38,38
,Buffalo Wings,38,38
,Chicken Chettinad,38,38
,Fried Cheese,38,38
,Margarita,38,38
,Rasam Vada,38,38
,Vada Sambar,38,38
,Badam Halwa,37,37
,Burrito Bowl,37,37
,Oreo Shake,37,37
,Spinach Ravioli,37,37
,Tender Coconut Ice Cream,37,37
,Yakhni Pulao,37,37
,Sugarcane Juice,37,13
,Andhra Thali,36,36
,Caesar Salad,36,36
,Chicken Rara,36,36
,Crab Sukha,36,36
,Frittata,36,36
,Lemon Basil Chicken,36,36
,Nutella Waffle,36,36
,Paneer Peri Peri,36,36
,Thandai,36,36
,Chicken Masala,35,35
,Chicken Pakora,35,35
,Chicken Salami,35,35
,Lemon Chicken,35,35
,Ragi Mudde,35,35
,Tangdi Kabab,35,35
,Chocolate Momos,34,34
,Chowmein,34,34
,Hara Bhara Kebab,34,34
,Liti Chokha,34,34
,Malai Kulfi,34,34
,Mango Shake,34,34
,Mushroom Masala,34,34
,Veg Nachos,34,34
,Wheat Beer,34,34
,Mango Lassi,34,12
,Jasmine Tea,34,10
,Chocolate Decadence,33,33
,Chocolate Sundae,33,33
,Fish Fry,33,33
,Rava Idli,33,33
,Supreme Pizza,33,33
,Orange Juice,33,10
,Beef Fry,32,32
,Caramel Pudding,32,32
,Chicken Tikka Pizza,32,32
,Chorizo Pav,32,32
,Crispy Dosa,32,32
,Nutella Cheesecake,32,32
,Shikanji,32,32
,Wonton Soup,32,32
,Mango Mascarpone Gateau,32,10
,Beef Curry,31,31
,Eggs Benedict,31,31
,Hyderabadi Dum Biryani,31,31
,Palak Paneer,31,31
,Popcorn Chicken,31,31
,Spinach Corn Cheese,31,31
,Wheat Roll,31,31
,Cheese Steak Pizza,31,11
,Tawa Roti,31,11
,Dahi Vada,30,30
,Pakoda,30,30
,Sweet Corn Chicken Soup,30,30
,Thai Green Curry,30,30
,Upma,30,30
,California Burrito,29,29
,Healthy Breakfast,29,29
,Marshmallow,29,29
,Murgh Lababdar,29,29
,Paneer Roll,29,29
,Kori Roti,29,9
,Aloo Samosa,28,28
,Babycorn Manchurian,28,28
,Bamboo Chicken,28,28
,Basil Chicken,28,28
,Chaach,28,28
,Jalebi Rabri,28,28
,Manchurian,28,28
,Veg Kolhapuri,28,28
,Irish Coffee,28,9
,Alfam Chicken,27,27
,Andhra Chilli Chicken,27,27
,Brownie Shake,27,27
,Calamari,27,27
,Caramel Custard,27,27
,Chocolate Milkshake,27,27
,Firni,27,27
,Lemonade,27,27
,Pesto Pizza,27,27
,Lemongrass Tea,27,9
,Missi Rotis,27,8
,Bagel,26,26
,Banana Cake,26,26
,Crunchy Veg Burger,26,26
,French Chicken,26,26
,Fruit Salad,26,26
,Ginger Chai,26,26
,Halwa,26,26
,Honey Chilli Chicken,26,26
,Kalmi Kebab,26,26
,Maharaja Mac,26,26
,Nitrogen Ice Cream,26,26
,Oreo Cheesecake,26,26
,Penne Pasta,26,26
,Pesto Pasta,26,26
,Pita Pocket,26,26
,Prawn Curry,26,26
,Rajma Masala,26,26
,Laccha Paratha,26,9
,Paneer Kulcha,26,8
,Chicken Kebab Biryani,25,25
,Chicken Manchurian,25,25
,Chicken Peri Peri Kebab,25,25
,Chilli Cheese,25,25
,Chocolate Fantasy,25,25
,Mocha Fudge,25,25
,Mushroom Ragout,25,25
,Mutton,25,25
,Paneer Lababdar,25,25
,Sabudana Vada,25,25
,Belgian Chocoholic,24,24
,Dabeli,24,24
,Dahipuri,24,24
,Dunkaccinos,24,24
,Egg Roll,24,24
,Hot Dog,24,24
,Nutella Shake,24,24
,Paneer Makhani,24,24
,Pho,24,24
,Plum Cake,24,24
,Shahi Tukda,24,24
,Tawa Chicken,24,24
,Kothu Paratha,24,9
,Corn Paratha,24,8
,Cheese Roll,23,23
,Croissants,23,23
,Italian Icecream,23,23
,Malai Chaap,23,23
,Pan Cake,23,23
,Paneer Tikka Biryani,23,23
,Peri Peri Fish,23,23
,Spicy Chicken,23,23
,Virgin Mojito,23,23
,Butter Kulcha,23,8
,Stuffed Naan,23,7
,Ambur Biryani,22,22
,Banana Smoothie,22,22
,Butter Beer,22,22
,Chilli Pork,22,22
,Chocolate Mocha,22,22
,Corn Dog,22,22
,Gajar Halwa,22,22
,Ghee Jalebi,22,22
,Haleem,22,22
,Italian Wonder,22,22
,Key Lime Pie,22,22
,Masala Prawn,22,22
,Masala Vada Pav,22,22
,Milk Shake,22,22
,Minestrone Soup,22,22
,Rava Dosa,22,22
,Veg Lasagna,22,22
,Vegetable Stew,22,22
,Virgin Sangria,22,22
,Cold Coffee,22,7
,Mosambi Juice,22,7
,Bbq Chicken,21,21
,Belgian Waffles,21,21
,Brain Fry,21,21
,Chicken Chatpata,21,21
,Chicken Kolhapuri,21,21
,Chicken Sukha,21,21
,Club Chicken Sandwich,21,21
,Crab Soup,21,21
,Kimchi,21,21
,Kung Pao Chicken,21,21
,Masala Lemonade,21,21
,Prawn Pizza,21,21
,Pudina Chicken,21,21
,Pyaz Kachori,21,21
,Sweet Corn Soup,21,21
,Veg Buffet,21,21
,Veggie Roll,21,21
,Whopper Burger,21,21
,Afghan Chicken,20,20
,Chicken Afghani Biryani,20,20
,Chicken Soup,20,20
,Chocolate Dessert,20,20
,Corn Fry,20,20
,Egg Roast,20,20
,Lucknowi Biryani,20,20
,Masala Idli,20,20
,Meatballs,20,20
,Mutton Madfoon,20,20
,Mysore Pak,20,20
,Orange Mojito,20,20
,Thalassery Biryani,20,20
,Thin Crust Pizza,20,20
,Tom Yum Soup,20,20
,Arabian Pulpy Grape Juice,20,7
,Fruit Lassi,20,7
,Almond Ice Cream,19,19
,Bhel Puri,19,19
,Biryani Combo,19,19
,Chicken Bbq Wings,19,19
,Chicken Quesadilla,19,19
,Custard,19,19
,Fiery Chicken,19,19
,Garlic Butter Noodle,19,19
,Hyderabadi Chicken Biryani,19,19
,Mashed Potato,19,19
,Millet Pizza,19,19
,Mutton Mandi,19,19
,Potli Biryani,19,19
,Sweet Corn Pizza,19,19
,Tai Pai Chicken,19,19
,Veg Starter,19,19
,Aloo Posto,18,18
,Basmati Rice,18,18
,Cake Jar,18,18
,Chicken Nihari,18,18
,Chocolava Cake,18,18
,Creme Brulee,18,18
,Dj,18,18
,Minced Chicken Lasagne,18,18
,Multi Grain Dosa,18,18
,Mushroom Biryani,18,18
,Mutton Soup,18,18
,Pie,18,18
,Rava Masala Dosa,18,18
,Red Rice,18,18
,Sizzler Brownie,18,18
,Veggie Wrap,18,18
,Beda Roti,18,7
,Bun Maskas,17,17
,Chicken Fries,17,17
,Chicken Tacos,17,17
,Deluxe Thali,17,17
,Fish Biryani,17,17
,Ghee Karam Dosa,17,17
,Kali Dosa,17,17
,Kosha Mangsho,17,17
,Martini,17,17
,Mint Oreo Shake,17,17
,Pudding,17,17
,Veggie Delight,17,17
,Zinger Burger,17,17
,Caramel Coffee,17,6
,Gulkand Lassi,17,6
,Barbecue Chicken Wings,16,16
,Belgian Brew Beer,16,16
,Belgian Fries,16,16
,Butter Masala Dosa,16,16
,Choco Fudge Brownie,16,16
,Chocolate Bomb,16,16
,Chocolate Lollipop,16,16
,Chocolate Waffles,16,16
,Clear Chicken Soup,16,16
,Corn Sandwich,16,16
,Kshatriya Kebab,16,16
,Kullad Chai,16,16
,Lamb Chops,16,16
,Mango Phirni,16,16
,Mexican Shawarma,16,16
,Mutton Kosha,16,16
,Non Veg Thali,16,16
,Pad Thai,16,16
,Paneer Ke Sholay,16,16
,Peri Peri Chicken Wings,16,16
,Pineapple Cake,16,16
,Potato Fries,16,16
,Rajma,16,16
,Spicy Roll,16,16
,Triple Chocolate,16,16
,Ajwaini Paratha,16,5
,Cheese Naan,16,5
,Arugula Salad,15,15
,Baklava,15,15
,Banana Walnut,15,15
,Bannoffee Pie,15,15
,Bbq Buffet,15,15
,Bbq Burger,15,15
,Belgian Chocolate,15,15
,Chaap,15,15
,Chicken Malai Tikka,15,15
,Chicken Pizza,15,15
,Chicken Sekuwa,15,15
,Dal Bati,15,15
,Dal Bukhara,15,15
,Empanadas,15,15
,Fajitas,15,15
,Hot Pot,15,15
,Lunch Thali,15,15
,Mudcake,15,15
,Mushroom Sandwich,15,15
,Nutella Brownie,15,15
,Papaya Salad,15,15
,Pizza Burger,15,15
,Red Velvet Cake,15,15
,Samosa Bun,15,15
,Sweet Potato Mash,15,15
,Swiss Roll,15,15
,Veg Dum Biryani,15,15
,Aglio Olio Pasta,14,14
,Amritsari Paneer,14,14
,Balti Gosht,14,14
,Belgium Chocolate,14,14
,Brinjal Curry,14,14
,Cafe Mocha,14,14
,Carrot Cake,14,14
,Chicken Sausages,14,14
,Chicken Shaptra,14,14
,Dahi Kebab,14,14
,Doi Katla,14,14
,Dum Aloo,14,14
,Falafel Roll,14,14
,Jumbo Shawarma,14,14
,Jumbo Vanjiram,14,14
,Kathi Roll,14,14
,Kunafa,14,14
,Malabari Biryani,14,14
,Phad Thai,14,14
,Popcorn,14,14
,Pot Biryani,14,14
,Rice Paper Rolls,14,14
,Roast Beef,14,14
,Sake,14,14
,Sausage Roll,14,14
,Teriyaki Chicken,14,14
,Tortilla Soup,14,14
,Ginger Lemon Tea,14,4
,American Chopsuey,13,13
,Badam Milk,13,13
,Chicken Patty,13,13
,Chicken Tikka Biryani,13,13
,Chilli Ramen,13,13
,Chocolate Shake,13,13
,Chocolate Truffle Cake,13,13
,Crepe,13,13
,Ferrero Rocher Milkshake,13,13
,Fiery Paneer,13,13
,Fried Rice Chicken,13,13
,Fruit Parfait,13,13
,Ginger Chicken,13,13
,Gongura Chicken,13,13
,Guntur Chicken Biryani,13,13
,Indori Poha,13,13
,Kadai Paneer,13,13
,Kadhi,13,13
,Kalmi Kabab,13,13
,Lava Cake,13,13
,Litti,13,13
,Misal Pav,13,13
,Mutton Kasha,13,13
,Panner Tikka,13,13
,Patiala Paneer,13,13
,Peri Peri Pasta,13,13
,Punjabi Chole,13,13
,Raagi Dosa,13,13
,Seekh Kebab,13,13
,Shami Kebab,13,13
,Veg Bao,13,13
,Vegetable Moussaka,13,13
,Coffee Toffee,13,5
,Fruit Juices,13,4
,Aam Panna,12,12
,Almond Shake,12,12
,Bhindi Masala,12,12
,Bisi Bele Bhaath,12,12
,Blueberry Shake,12,12
,Cajun Fries,12,12
,Chicken Fry,12,12
,Chocolate Sandwich,12,12
,Crispy Fried Chicken,12,12
,French Omelette,12,12
,Gajar Ka Halwa,12,12
,Goan Fish Curry,12,12
,Grilled Chicken Wrap,12,12
,Grilled Sandwich,12,12
,Hunan Tofu,12,12
,Ice Cream Sundae,12,12
,Kiwi Delight,12,12
,Lamb Burger,12,12
,Mango Blast,12,12
,Mexican Fries,12,12
,Mexican Patty,12,12
,Nolen Gurer Ice Cream,12,12
,Pizza Sandwich,12,12
,Pork Tonkatsu,12,12
,Quinoa Burger,12,12
,Sweet Pongal,12,12
,Teriyaki Chicken Wings,12,12
,Thai Wok Chicken,12,12
,Tortilla Chips,12,12
,Keema Naan,12,5
,Irish Coffee Cream,12,4
,Almond Flakes,11,11
,Almond Fudge,11,11
,Andhra Biryani,11,11
,Berryblast,11,11
,Cajun Potato,11,11
,Cake Pops,11,11
,Cheese Maggi,11,11
,Chicken Kshatriya,11,11
,Choco Hazelnut,11,11
,Crispy Chilli Corn,11,11
,Dal Halwa,11,11
,Egg Devils,11,11
,Exotic Veg Pizza,11,11
,Fry Prawns,11,11
,Gosht Dum Biryani,11,11
,Gundappa Donne Biryani,11,11
,Hush Puppies,11,11
,Idli Sambar,11,11
,Jolada Rotti,11,11
,Kadhai Mushroom,11,11
,Kebab Biryani,11,11
,Lemon Rice,11,11
,Masala Fries,11,11
,Mishti Doi,11,11
,Orange Tart,11,11
,Paan Shot,11,11
,Papdi Chaat,11,11
,Plain Dosa,11,11
,Puri Sabzi,11,11
,Smoked Pork,11,11
,Spicy Chicken Wings,11,11
,Kiwi Ice Tea,11,4
,Mushroom Steak,11,4
,Aloo Tikki Burger,10,10
,Badam Phirni,10,10
,Bloody Mary,10,10
,Blueberry Pancakes,10,10
,Chamcham,10,10
,Chicken Dak Bunglow,10,10
,Chicken Dumplings,10,10
,Chicken Egg Roll,10,10
,Chicken Keema Pizza,10,10
,Chocolate Chip Cookie,10,10
,Corn Soup,10,10
,Dahi Baigan,10,10
,Dahi Ke Kebab,10,10
,Jalapeno Cheeseballs,10,10
,Kabab Platter,10,10
,Kadala Curry,10,10
,Masala Vada,10,10
,Memon Mutton Biryani,10,10
,Mudpie,10,10
,Mutton Rezala,10,10
,Pizza Fries,10,10
,Salmon,10,10
,Sarson Ka Saag,10,10
,Set Dosa,10,10
,Stuffed Capsicum,10,10
,Stuffed Mushroom,10,10
,Watermelon Martini,10,10
,White Pasta,10,10
,Paneer Steak,10,4
,Stuffed Paratha,10,4
,Chicken Kothu Paratha,10,3
,Masala Soda,10,3
,Andhra Style Biryani,9,9
,Andhra Style Chilli Chicken,9,9
,Beef Stroganoff,9,9
,Cajun Chicken,9,9
,Cheese Burger,9,9
,Chicken Biryani Combo,9,9
,Chicken Mayo,9,9
,Chinese Bhel,9,9
,Chocolate Oreo,9,9
,Chocolate Pancakes,9,9
,Dahi Papadi Chaat,9,9
,Dal Kichadi,9,9
,Dance Floor,9,9
,Fudge Cake,9,9
,Gol Gappe,9,9
,Gourmet Pizza,9,9
,Granola Parfait,9,9
,Jasmine Rice,9,9
,Kaju Barfi,9,9
,Khali Dosa,9,9
,Lager,9,9
,Meat Balls,9,9
,Methi Murg,9,9
,Mutton Roll,9,9
,Onion Dosa,9,9
,Pan Fried Momos,9,9
,Peanut Butter Milkshake,9,9
,Peri Fries,9,9
,Protein Smoothie,9,9
,Rice Bowls,9,9
,Roast Pork,9,9
,Spicy Tuna Roll,9,9
,Tomato Rice,9,9
,Veg Sushi,9,9
,Kokum Juice,9,4
,Chicken Baida Roti,9,3
,Chur Chur Paratha,9,3
,Passion Fruit Juice,9,3
,Aloo Litti,8,8
,Bacon Burger,8,8
,Basil Pesto Chicken,8,8
,Beef Kabab,8,8
,Chana Daal,8,8
,Cheese Dosa,8,8
,Cheese Sandwich,8,8
,Chicken Bucket,8,8
,Chicken Stew,8,8
,Chocolate Martini,8,8
,Corn Cigars,8,8
,Dark Chocolate Shake,8,8
,Duck Roast,8,8
,Espresso,8,8
,Exotic Pizza,8,8
,Galauti Kebab,8,8
,Guava Ice Cream,8,8
,Jumbo Ilish,8,8
,Kaaram Biryani,8,8
,Kesar Badam,8,8
,Khara Bhath,8,8
,Kiwi Lemonade,8,8
,Laham Mandi,8,8
,Masoor Dal,8,8
,Mushroom Manchurian,8,8
,Mutton Raan,8,8
,Opera Cake,8,8
,Pad Thai Noodle,8,8
,Paneer Samosa,8,8
,Pasta Arrabiata,8,8
,Punjabi Chicken,8,8
,Puttu Biryani,8,8
,Sali Boti,8,8
,Samosa Pav,8,8
,Sauteed Vegetables,8,8
,Seafood Soup,8,8
,Soya Chaap,8,8
,Spicy Crabmeat Soup,8,8
,Sunday Morning Breakfast,8,8
,Tandoori Burger,8,8
,Veg Puff,8,8
,Butter Tea,8,3
,Almond Soup,7,7
,Aloo Patty,7,7
,Asparagus Risotto,7,7
,Badami Holige,7,7
,Banana Leaf Meal,7,7
,Banana Walnut Cake,7,7
,Basanti Pulao,7,7
,Beef Teriyaki,7,7
,Bhaji Dosa,7,7
,Carbonara,7,7
,Chettinad Thali,7,7
,Chicken Breast,7,7
,Chicken Chaap,7,7
,Chicken Chowmein,7,7
,Chicken Delight,7,7
,Chicken Dosa,7,7
,Chicken Frankie,7,7
,Chinese Sizzlers,7,7
,Chocolate Avalanche,7,7
,Churma,7,7
,Corn Fritters,7,7
,Crab Roll,7,7
,Crispy Masala Dosa,7,7
,Crispy Water Chestnuts,7,7
,Curry Crab,7,7
,Dal Palak,7,7
,German Chocolate,7,7
,Idiyappam,7,7
,Jumbo Chicken Roll,7,7
,Kesar Pista,7,7
,Kheer Kadam,7,7
,Liver Fry,7,7
,Malai Tikka,7,7
,Masala Omelette,7,7
,Motichoor Ladoo,7,7
,Mutton Whopper,7,7
,Nolen Gur,7,7
,Outdoor Sitting Arrangement,7,7
,Paneer Manchurian,7,7
,Paneer Tikka Roll,7,7
,Paneer Wrap,7,7
,Pepperoni Pizza,7,7
,Peri Peri Chicken Pizza,7,7
,Pink Lemonade,7,7
,Pizza Dosa,7,7
,Pizza Parantha,7,7
,Pork Chilli,7,7
,Radhaballavi,7,7
,Ragda Pattis,7,7
,Rainbow Cake,7,7
,Rajasthani Thali,7,7
,Rose Faluda,7,7
,Schezwan Rice,7,7
,Tandoori Fish,7,7
,Tandoori Paneer,7,7
,Terminator Burger,7,7
,Veg Dim Sums,7,7
,Veg Shammi,7,7
,Wonton,7,7
,Bubble Tea,7,3
,Hibiscus Tea,7,2
,Malabari Paratha,7,2
,Aalo Bhaja,6,6
,Adrak Ke Panje,6,6
,Aloo Palya,6,6
,Apollo Fish,6,6
,Barbeque Burger,6,6
,Beef Momo,6,6
,Blackcurrant Shake,6,6
,Bonda,6,6
,Brosted Chicken,6,6
,Brownie Bomb,6,6
,Bun Masala,6,6
,Chana Masala,6,6
,Cheese Chilli Toast,6,6
,Chicken Dim Sum,6,6
,Chicken Kheema Dosa,6,6
,Chicken Thukpa,6,6
,Chilli Idli,6,6
,Choco Brownie,6,6
,Chocolate Devotion,6,6
,Chocolate Fudge,6,6
,Chocolate Hazelnut Shake,6,6
,Chocolate Peanut Butter,6,6
,Cotton Candy,6,6
,Crab Ghee Roast,6,6
,Crispy Vada,6,6
,Designer Cakes,6,6
,Dessert Pizza,6,6
,Disco Chicken,6,6
,Falafel Wrap,6,6
,Ferrero Rocher Shake,6,6
,Garlic Rice,6,6
,Ginger Lime Mojito,6,6
,Gooey Chocolate Cupcake,6,6
,Gur Ice Cream,6,6
,Handi Biryani,6,6
,Lamb Curry,6,6
,Legendary Hrc Burger,6,6
,Lemon Margarita,6,6
,Macaroni,6,6
,Masala Paneer,6,6
,Mocha Chingri,6,6
,Mughlai Biryani,6,6
,Murgh Malai,6,6
,Mutton Samosa,6,6
,Open Dosa,6,6
