candidate_id,years_experience,current_title,skills,education_level,university,previous_companies,certifications,english_proficiency,expected_salary,candidate_location,willing_to_relocate,profile_completeness,account_created_date
11,5.0,Junior Backend Developer,TensorFlow|Python|Terraform|PyTorch|MongoDB|Power BI|Linux|Angular|Vue|LightGBM|SQL|Kubernetes,PhD,,Generic Tech Co 15|Generic Tech Co 41|Generic Tech Co 68|Generic Tech Co 80|Generic Tech Co 81|Generic Tech Co 64,,B2,121996.89114780157,Toronto,No,74,2023-11-25
12,8.0,Junior Backend Developer,TensorFlow|Python|Terraform|MongoDB|Docker|PostgreSQL|Django|Go|GitLab-CI|Linux,Master,Generic State University 63,Generic Tech Co 89|Generic Tech Co 42|Generic Tech Co 25|Generic Tech Co 5,,C1,120589.9266323291,Seattle,Yes,84,2022-03-11
13,9.0,Data Analyst,CSS|Vue|Scikit-learn|Linux|AWS,Bachelor,,Virgool,GCP-PCA|HIPAA|CFA|PMP,B1,147870.50081249766,Istanbul,No,90,2021-09-28
14,2.0,Senior Backend Developer,Git|Redux|Python|Grafana|Tableau|Docker|GCP|Angular|Pandas,Master,,Generic Tech Co 8|Generic Tech Co 96|Generic Tech Co 33|Generic Tech Co 37,PMP|Scrum-Master,B2,63179.87261898486,Vancouver,No,91,2023-11-05
15,22.0,Junior ML Engineer,TensorFlow|Python|Tailwind|Tableau|Node.js|Grafana|Django|PySpark,Bachelor,Online University D,Generic Tech Co 58,,A2,225043.9641915002,Amsterdam,No,88,2023-11-15
16,0.0,VP Engineering,Redux|React|Airflow|Grafana|PostgreSQL|CSS|NumPy|YAML,PhD,Generic State University 37,Generic Tech Co 89|Generic Tech Co 58|Generic Tech Co 76|Generic Tech Co 22|Generic Tech Co 9|Generic Tech Co 36,Azure-AZ104,Native,26481.172173280458,singapore,Yes,100,2022-12-12
17,,Junior Web Developer,Redux|Airflow|Jenkins|Angular|Django|Java|TypeScript,Bachelor,,Generic Tech Co 84|SpaceX|Generic Tech Co 59,,C2,98296.53375958816,Munich,Yes,63,2022-06-06
18,,Full Stack Developer,React|Redux|Python|Tailwind|GraphQL|NumPy|MySQL|Scikit-learn|YAML|Kubernetes,Master,Generic State University 85,Generic Tech Co 52|Generic Tech Co 100|Generic Tech Co 19,,A1,82264.18862157123,Munich,Yes,74,2023-09-08
19,,Senior Frontend Developer,Kafka|Tableau|Next.js|GraphQL|Power BI|Express|dbt|Angular|Redis,Bachelor,Generic State University 4,Generic Tech Co 55|Generic Tech Co 7|Generic Tech Co 19,Azure-AZ305|AWS-DOP|CISSP|PMP,B1,85091.95499412196,Tabriz,Yes,90,2023-09-18
20,5.0,ML Engineer,TensorFlow|Agile|CICD|Airflow|Webpack|Svelte|TypeScript|Spark|Kubernetes,Master,Generic State University 19,,Docker-Certified|AWS-SAP,,84254.29983453739,Madrid,Yes,71,2023-03-12
21,5.0,Frontend Developer,Git|Redux|Python|Terraform|Node.js|PostgreSQL|dbt|XGBoost|Nginx|Kubernetes,Bachelor,Generic State University 43,,,B2,89786.64906289689,Karaj,Yes,81,2023-09-04
22,8.0,Junior ML Engineer,Redux|GraphQL|Vue|Scikit-learn|LightGBM|Nginx|HTML,Master,Online University V,Generic Tech Co 16|Generic Tech Co 60|Generic Tech Co 77|Generic Tech Co 75,,Beginner,114887.61291891344,Qom,No,83,2023-11-01
23,5.0,Senior ML Engineer,JSON|CICD|Tailwind|PyTorch|Express|Docker|Java|Problem-Solving|Kubernetes,PhD,,Generic Tech Co 59|Airbnb|Generic Tech Co 72,,C1,90564.3831659974,New York,No,77,2020-01-06
24,1.0,Senior Full Stack Developer,Python|C#|Tableau|Airflow|Flask|Pandas|Go,Master,Generic State University 27,Generic Tech Co 84|Generic Tech Co 62|Generic Tech Co 80,Azure-AZ104,,52031.154837888644,Manchester,Yes,88,2023-10-27
25,,Backend Developer,TensorFlow|Tailwind|RabbitMQ|Webpack|CSS|dbt|Vue|Scikit-learn|R|Kubernetes,Master,,,,C1,90388.2264329107,Singapore,,49,2020-01-13
26,2.0,Senior Software Engineer,Tableau|Flask|Docker|Ansible|MySQL|Spark|PySpark,Bachelor,UC Berkeley,Cafe Bazaar|Generic Tech Co 41|Generic Tech Co 9|Generic Tech Co 5|Generic Tech Co 62|Generic Tech Co 82,CFA|Docker-Certified,C2,56369.1125694895,Remote,No,100,2020-11-15
27,3.0,Senior DevOps Engineer,Azure|C#|Airflow|PyTorch|Scrum|Spring|GitLab-CI|SQL,Master,,Generic Tech Co 28|Generic Tech Co 61,GCP-ACE|Kubernetes-CKA|Terraform-Associate|Kubernetes-CKAD,A1,95639.85153277668,Vancouver,,90,2023-06-28
28,22.0,Lead Architect,TensorFlow|Tailwind|Docker|Kubernetes|Angular|Spark|SQL|PySpark|HTML,Master,Online University D,Generic Tech Co 43|Generic Tech Co 60|Generic Tech Co 75|Generic Tech Co 11,GCP-PCA|PCI-DSS|Docker-Certified|Scrum-Master,B2,212897.00408504097,London,Yes,100,2023-01-28
29,1.0,VP Engineering,REST API|Node.js|RabbitMQ|Webpack|CSS|Communication|Java|SASS,Master,,Generic Tech Co 100,Kubernetes-CKAD|AWS-DOP|Azure-AZ104,B1,76200.68698898664,MANCHESTER,No,91,2022-04-13
30,10.0,ML Engineer,Git|Redux|Python|Terraform|Express|Power BI|GCP|Pandas|Spark|GitLab-CI|Nginx|HTML,Master,Generic State University 24,Generic Tech Co 68|Generic Tech Co 2,GCP-ACE|HIPAA|AWS-DevOps|Scrum-Master,A2,160461.0920480516,Berlin,Yes,100,2021-08-02
31,4.0,Jr. Software Engineer,Python|Power BI|Jenkins|CSS|Angular|LightGBM|PySpark,Master,Online University S,Generic Tech Co 96|Generic Tech Co 33|Generic Tech Co 1|Generic Tech Co 37,Docker-Certified,A1,83084.07216429528,Tokyo,Yes,100,2023-08-13
32,7.0,Web Developer,React|Python|Terraform|RabbitMQ|Pandas|R|Kubernetes,High School,Stanford University,Generic Tech Co 24|Generic Tech Co 62|Generic Tech Co 16|Generic Tech Co 53,,Advanced,98626.7783688216,Tabriz,Yes,84,2024-02-03
33,5.0,Full Stack Developer,Power BI|Docker|PySpark|Spring,Bachelor,,Generic Tech Co 45|Generic Tech Co 93|Generic Tech Co 1,,A2,75454.80508173288,Mashhad,No,77,2024-01-01
34,12.0,Tech Lead,CICD|Grafana|Tailwind|Express|Docker|Pandas|Linux,Master,,Generic Tech Co 21|Generic Tech Co 66|Generic Tech Co 5|Generic Tech Co 31,Azure-AZ104,C2,151957.27055601485,Qom,No,91,2020-02-29
35,11.0,Web Developer,Redux|Python|Kafka|Node.js|Jenkins|Django|Spring|YAML|Linux|PySpark,Bachelor,Generic State University 43,Generic Tech Co 31|Generic Tech Co 56|Generic Tech Co 96|Generic Tech Co 71|Generic Tech Co 94,Docker-Certified,B1,129610.76282326164,Karaj,No,100,2022-05-28
36,,Senior Frontend Developer,Git|CSS|Svelte|Redis|Vue|GitLab-CI|R,PhD,Generic State University 95,Generic Tech Co 47|Generic Tech Co 8|Generic Tech Co 84|Generic Tech Co 96|Generic Tech Co 55|Generic Tech Co 36,Docker-Certified,Intermediate,90313.30744498617,Tabriz,Yes,87,2022-05-22
37,10.0,Senior Backend Developer,Java|MongoDB|SASS|Pandas,Bachelor,Online University Q,Generic Tech Co 19|Generic Tech Co 38,CISSP,A2,140187.7443235996,Manchester,,100,2020-04-21
38,4.0,Sr. DevOps Engineer,JavaScript|Tailwind|Nginx|Prometheus|Ansible|CSS|Svelte|Vue|GitLab-CI|NumPy|Kubernetes,Bachelor,Online University A,Generic Tech Co 77|Generic Tech Co 19|Generic Tech Co 45|Generic Tech Co 42|Generic Tech Co 98,,A2,101902.40102155427,Seattle,No,91,2021-05-02
39,6.0,Systems Engineer,React|Python|Terraform|PyTorch|FastAPI|Power BI|Java|Go|GitLab-CI,Bachelor,Generic State University 3,Generic Tech Co 92|Shopify|Generic Tech Co 85|Generic Tech Co 90|Generic Tech Co 3|Generic Tech Co 72,,B1,114619.89960932854,Boston,No,88,2024-01-27
40,5.0,Senior ML Engineer,TensorFlow|JavaScript|Flask|Angular|NumPy|Linux,High School,Generic State University 4,Generic Tech Co 1,,B2,86210.48553008579,Remote,Yes,88,2020-08-23
41,7.0,Lead Architect,Docker|PostgreSQL|Angular|Scikit-learn|AWS,Bachelor,Generic State University 56,Generic Tech Co 19|Generic Tech Co 28|Generic Tech Co 55|Generic Tech Co 40|Generic Tech Co 70,GCP-ACE|HIPAA|AWS-DOP,B2,104687.95490457931,San Francisco,Yes,96,2022-09-08
42,0.0,Systems Engineer,MongoDB|Flask|Jenkins|dbt|Svelte|Communication|LightGBM,Bachelor,Generic State University 46,Generic Tech Co 93,,B2,49769.66393726365,Isfahan,Yes,87,2020-07-20
43,3.0,Data Analyst,JavaScript|REST API|PyTorch|Node.js|XGBoost,Bachelor,,,,A1,53278.1809766219,Berlin,No,61,2022-07-02
44,16.0,Software Developer Intern,CICD|Express|Prometheus|Jenkins|Django|Java|Spark,Master,Generic State University 47,,Kubernetes-CKAD|AWS-SAP|AWS-CSA|AWS-DevOps,B2,166807.413899923,Tokyo,No,89,2023-06-27
45,5.0,Junior DevOps Engineer,Python|Angular|Linux|Spark,Bachelor,,Generic Tech Co 81|Generic Tech Co 64,Terraform-Associate|HIPAA|PCI-DSS,C1,88182.78505833731,San Francisco,Yes,85,2022-02-22
46,5.0,Data Scientist,React|Terraform|FastAPI|GraphQL|Webpack|CSS|Angular|Communication|Redis|PySpark,Bachelor,Generic State University 6,,AWS-DOP|AWS-SAP,B2,86353.92673177493,Boston,No,87,2021-02-02
47,3.0,ML Engineer,C#|Grafana|Flask|Ansible|Go|Scikit-learn|Problem-Solving|SQL|HTML,Bachelor,Generic State University 50,Generic Tech Co 14|SpaceX|Generic Tech Co 7,AWS-DOP|Azure-AZ104,C1,74104.15339630585,Tehran,No,100,2020-08-20
48,8.0,Junior ML Engineer,Express|LightGBM|XGBoost|SASS|Java|Go|Problem-Solving|R,Master,Generic State University 16,Generic Tech Co 61,,B2,138761.02964999777,Karaj,No,87,2022-04-06
49,3.0,Software Engineer,RabbitMQ|Terraform|Webpack|Django,B.A.,,Generic Tech Co 57|Generic Tech Co 75|Generic Tech Co 37,,B1,72590.69500073517,Toronto,No,77,2022-09-02
50,7.0,Junior Data Analyst,SASS|Vue|LightGBM|Testing|PySpark,B.S.,Generic State University 65,Generic Tech Co 29|Generic Tech Co 30|Generic Tech Co 15|Generic Tech Co 40|Generic Tech Co 83,,B2,118816.10170218647,Hamburg,Yes,85,2021-03-11
51,3.0,Lead Architect,Agile|Tableau|Airflow|R|Django|Vue|Nginx|SQL|PySpark|Kubernetes,Bachelor,Generic State University 22,Generic Tech Co 55|Generic Tech Co 89,GCP-ACE|Terraform-Associate|Kubernetes-CKA|CFA,A1,72800.25269017002,Dubai,No,99,2023-07-18
52,4.0,Senior Frontend Developer,Redux|Python|Terraform|Tableau|Express|Webpack|Power BI|CSS|Java|MySQL,Bachelor,Generic State University 65,Generic Tech Co 7|Generic Tech Co 97|Generic Tech Co 87|Generic Tech Co 17,CISSP,Intermediate,77010.33330331331,Berlin,,99,2023-10-18
53,5.0,Junior DevOps Engineer,React|Python|Kafka|Tailwind|R|Flask|Scikit-learn|Linux|Kubernetes,Bachelor,TU Munich,Generic Tech Co 45|Generic Tech Co 51,,Elementary,78954.92644588789,Tehran,No,83,2022-12-30
54,5.0,SENIOR FRONTEND DEVELOPER,Terraform|FastAPI|GraphQL|RabbitMQ|Node.js|Express|Docker|Communication|Spark|Vue|Nginx,Bachelor,Online University X,Generic Tech Co 86|Generic Tech Co 72,,Intermediate,86065.30757257015,New York,No,88,2023-02-16
55,11.0,Database Administrator,Redux|Kafka|Grafana|Jenkins|CSS|XGBoost|GitLab-CI,Master,Generic State University 24,Generic Tech Co 98,,Upper-Intermediate,145073.4919088131,San Francisco,Yes,86,2021-09-05
56,4.0,Software Engineer,Redux|Terraform|GCP|Jenkins|Pandas|Spring|MySQL|Testing,Bachelor,,,AWS-CSA,B1,81500.58987802744,Seattle,Yes,78,2023-06-30
57,1.0,Junior DevOps Engineer,CICD|Power BI|Webpack|Prometheus|CSS|Pandas|R|Kubernetes,Bachelor,Online University D,Generic Tech Co 4|Generic Tech Co 80,CFA,B2,49011.15766631281,Boston ,,96,2023-01-05
58,3.0,Junior DevOps Engineer,Tailwind|Tableau|Node.js|FastAPI|Flask|GCP|Spark|GitLab-CI,Bachelor,Generic State University 50,Generic Tech Co 80|Generic Tech Co 68|Generic Tech Co 42,GCP-ACE|GCP-PCA,,84294.72207566345,Austin,Yes,88,2023-04-26
59,5.0,Senior Full Stack Developer,Svelte|Python|CICD|Prometheus,High School,,Generic Tech Co 30|Generic Tech Co 34,,A2,112254.565613255,New York,Yes,74,2022-01-26
60,11.0,Senior Frontend Developer,TensorFlow|Terraform|PyTorch|Scrum|RabbitMQ|Express|Docker|Svelte|Testing|Nginx|SQL|AWS,BSc,Generic State University 75,Google|Generic Tech Co 57|Generic Tech Co 17|Generic Tech Co 40|Generic Tech Co 70,Azure-AZ305|CFA,B1,141649.81037128842,Berlin,,99,2020-04-08
61,5.0,Director of Engineering,Python|Kafka|FastAPI|Jenkins|Kubernetes|SASS|Django|Linux|HTML,PhD,Generic State University 90,,Kubernetes-CKA|CISSP,B2,83959.10766282359,Amsterdam,Yes,87,2023-01-27
62,1.0,Director of Engineering,Git|Airflow|Next.js|Node.js|Pandas|Spring|Go|HTML,Bachelor,Generic State University 84,Generic Tech Co 94|Generic Tech Co 70|Generic Tech Co 98|Generic Tech Co 83,AWS-DOP|Azure-AZ900,B1,38270.22094531899,Hamburg,,98,2020-09-22
63,2.0,Backend Developer,Terraform|PyTorch|Next.js|Node.js|Linux,Bachelor,,Cafe Bazaar,,B2,89889.39175787929,Hamburg,No,76,2023-09-02
64,6.0,Senior Full Stack Developer,Tailwind|FastAPI|MongoDB|Power BI|CSS|MySQL|Vue|Problem-Solving|SQL,Bachelor,,Generic Tech Co 43|Google|Generic Tech Co 91|Generic Tech Co 37,PMP|HIPAA|GCP-PCA,C1,110243.8957907398,Tabriz,,89,2020-10-20
65,12.0,Director of Engineering,CICD|PyTorch|PostgreSQL|Angular|Communication|HTML,PhD,Generic State University 73,Generic Tech Co 11|Generic Tech Co 54|Generic Tech Co 88,GCP-ACE|Terraform-Associate|CFA,A2,146234.01359911548,Madrid,No,95,2023-10-12
66,3.0,Senior ML Engineer,JavaScript|Terraform|Kafka|Webpack|Docker|Go|Kubernetes,Bachelor,Generic State University 63,Generic Tech Co 32|Generic Tech Co 73|Generic Tech Co 22|Generic Tech Co 84|Generic Tech Co 4|Generic Tech Co 36,GCP-PCA|HIPAA,,67966.3932690636,Qom,No,86,2023-03-29
67,19.0,junior full stack developer,Redux|REST API|Grafana|PyTorch|RabbitMQ|Airflow|Scrum|Node.js|Kubernetes|Linux|AWS,Master,,Generic Tech Co 2|Generic Tech Co 97|Generic Tech Co 74|Generic Tech Co 21,CEH|HIPAA|CFA|Azure-AZ900,Upper-Intermediate,187541.6589241965,Madrid,No,83,2023-08-31
68,5.0,Backend Developer,Redux|MongoDB|Power BI|GCP|Nginx|R,High School,,Generic Tech Co 19|Generic Tech Co 68|Generic Tech Co 28|Generic Tech Co 22|Generic Tech Co 88|Generic Tech Co 98,,B1,80466.6405394942,Dubai,No,79,2023-09-18
69,1.0,Junior ML Engineer,Python|Agile|REST API|RabbitMQ|Webpack|Docker|Svelte|GitLab-CI|Kubernetes,Bachelor,TU Munich,Generic Tech Co 26|Generic Tech Co 63|Generic Tech Co 47|Generic Tech Co 4|Generic Tech Co 94|Generic Tech Co 49,Kubernetes-CKAD,A1,81848.79433928046,Tokyo,No,98,2020-07-29
70,2.0,Database Administrator,JSON|Grafana|PostgreSQL|XGBoost|Angular|Vue|Linux,Master,Generic State University 95,Apple,,C2,62933.96089029391,Madrid,,85,2020-07-29
71,1.0,CTO,Python|PyTorch|Airflow|Docker|Prometheus|Ansible|Pandas|TypeScript|MySQL,PhD,Online University D,Generic Tech Co 76,Agile-Certified|Terraform-Associate|AWS-SAP|AWS-DOP,A1,82002.2339767612,Berlin,Yes,92,2023-10-01
72,3.0,Data Scientist,React|RabbitMQ|Power BI|Webpack|Express|Jenkins|Docker|GitLab-CI|HTML,High School,,Generic Tech Co 26|Generic Tech Co 6|Generic Tech Co 91|Generic Tech Co 52|Generic Tech Co 70|Generic Tech Co 59,,Elementary,97695.76201172333,Austin,No,78,2021-10-07
73,4.0,Senior DevOps Engineer,JSON|PyTorch|Flask|Docker|Prometheus|CSS|SASS|Scikit-learn|LightGBM,Bachelor,Generic State University 36,,,C2,104073.7116807751,Hamburg,No,75,2023-01-01
74,0.0,Lead Architect,Kafka|Next.js|Power BI|Java|Spring|HTML,PhD,Generic State University 17,Generic Tech Co 60|Digikala|Generic Tech Co 17|Generic Tech Co 82,,B2,23896.601281995154,Tabriz,,86,2021-01-16
75,13.0,Principal Engineer,JSON|Tailwind|Next.js|Node.js|FastAPI|Docker|SASS|LightGBM|Linux|HTML,Bachelor,Generic State University 6,Generic Tech Co 13,Azure-AZ305,A2,145500.85108271276,Remote,Yes,98,2021-07-05
76,13.0,Junior Software Engineer,CICD|Docker|dbt|SASS|Django|Spring|MySQL,Master,,,Azure-AZ305|HIPAA|Docker-Certified,C1,159637.30488607663,Munich,No,69,2020-10-12
77,2.0,Tech Lead,TensorFlow|Python|MongoDB|Docker|SASS|Java|Redis|LightGBM,Bachelor,,Generic Tech Co 85|Generic Tech Co 65|Generic Tech Co 40|Airbnb|Generic Tech Co 64,AWS-CSA|HIPAA|GCP-ACE|CISSP,A2,57646.060794051315,Istanbul,No,88,2021-05-23
78,2.0,Junior Full Stack Developer,TensorFlow|Kafka|Tailwind|Next.js|Angular|Go|Kubernetes,Master,Online University H,,,B2,39363.625652906194,Dubai,,76,2020-08-05
79,6.0,Senior ML Engineer,HTML|R|GCP|TypeScript,PhD,Generic State University 22,Generic Tech Co 61|Generic Tech Co 91|Amazon|Generic Tech Co 8|Generic Tech Co 5|Generic Tech Co 34,PMP|AWS-SAP,C1,115028.47695860808,San Francisco,No,100,2024-02-21
80,4.0,Junior Web Developer,TensorFlow|Azure|Scrum|Next.js|dbt|Spring|Go|Linux|Kubernetes|Vue,PhD,Generic State University 3,Generic Tech Co 79|Generic Tech Co 60|Generic Tech Co 82|Generic Tech Co 69,,C1,103446.84730008122,Amsterdam,No,89,2020-06-03
81,2.0,Junior Backend Developer,React|C#|Next.js|Docker|LightGBM|Nginx|R,Bachelor,,Generic Tech Co 30|Generic Tech Co 61|Generic Tech Co 76|Generic Tech Co 44|Generic Tech Co 83|Generic Tech Co 82,,C2,63820.15072786846,Toronto,Yes,75,2021-10-22
82,10.0,Junior Software Engineer,REST API|JavaScript|Terraform|Python|Node.js|PostgreSQL|CSS|Django|Spark|Scikit-learn|LightGBM|Linux,Master,Generic State University 14,Generic Tech Co 16|Generic Tech Co 65|Generic Tech Co 40|Generic Tech Co 90|Generic Tech Co 83,,B1,127530.99763489362,Paris,No,89,2020-08-17
83,1.0,Principal Engineer,Python|REST API|CICD|Next.js|Docker|Jenkins|CSS|Problem-Solving|NumPy|R|Kubernetes,PhD,Generic State University 44,Generic Tech Co 98,HIPAA|CISSP,C1,61455.768793681644,Singapore,No,98,2023-02-14
84,4.0,Senior ML Engineer,React|Python|CICD|Grafana|Docker|SASS|Java|Go|HTML,High School,Generic State University 88,,CEH|HIPAA,B1,51258.42262527139,Tehran,No,93,2023-12-30
85,8.0,FRONTEND DEVELOPER,Redux|React|Tailwind|Grafana|Express|Go|PySpark,Bachelor,Sharif University of Technology,Generic Tech Co 75|Generic Tech Co 6|Generic Tech Co 55|Airbnb|Generic Tech Co 94,,,139024.63973586165,Seattle,No,72,2020-02-29
86,6.0,Engineering Manager,Grafana|Docker|dbt|XGBoost|Redis|SQL,Bachelor,Generic State University 90,Generic Tech Co 26|Generic Tech Co 68|Generic Tech Co 3|Generic Tech Co 62,AWS-CSA,C1,87080.57202905313,Seattle,No,100,2022-05-27
87,4.0,Lead Architect,Node.js|SASS|Azure|CSS,Master,Generic State University 76,Generic Tech Co 19,,A1,71498.97744970935,London,No,80,2020-01-31
88,7.0,Senior DevOps Engineer,JavaScript|MongoDB|Flask|NumPy|Nginx,Master,Online University A,Generic Tech Co 24|Generic Tech Co 52|Generic Tech Co 10|Generic Tech Co 3,Terraform-Associate|AWS-CSA|AWS-DevOps,A1,81721.78502787446,Tokyo,Yes,99,2021-10-29
89,6.0,Database Administrator,Redux|Scrum|LightGBM|GCP|HTML|Go|Problem-Solving|Linux|Kubernetes,Master,Generic State University 49,Generic Tech Co 67|Generic Tech Co 59|Generic Tech Co 80|Generic Tech Co 65,Agile-Certified|AWS-DOP,,93655.89334983854,New York,,88,2020-03-15
90,0.0,Software Developer Intern,RabbitMQ|Power BI|CSS|Spring|Problem-Solving|NumPy|Kubernetes,Bachelor,,,,Elementary,60088.245118519044,London,No,61,2020-09-30
91,3.0,Solutions Architect,MongoDB|SASS|TypeScript|MySQL|Problem-Solving|HTML,Bachelor,Generic State University 90,,,C1,65301.81597767566,San Francisco,Yes,75,2023-01-05
92,4.0,Junior ML Engineer,React|JavaScript|Svelte|Angular|TypeScript|LightGBM|SQL|Kubernetes,PhD,,Apple|Shopify|Generic Tech Co 72|Generic Tech Co 62|Generic Tech Co 37,Kubernetes-CKAD|Kubernetes-CKA|AWS-SAP|Scrum-Master,Elementary,94108.83141903052,Vancouver,No,94,2023-10-07
93,5.0,CTO,Python|PyTorch|Power BI|GCP|TypeScript,High School,Generic State University 22,Generic Tech Co 70|Generic Tech Co 72,,C1,65215.55324837189,Isfahan,No,93,2020-06-18
94,2.0,Senior Full Stack Developer,TensorFlow|PyTorch|Ansible|Pandas|Redis|MySQL|Problem-Solving|NumPy|AWS,Bachelor,,Generic Tech Co 46|Generic Tech Co 57|Generic Tech Co 81|Generic Tech Co 5,AWS-SAP,A1,61943.7465980689,Dubai,Yes,85,2023-11-03
95,10.0,Systems Engineer,Python|JavaScript|Tableau|LightGBM|Linux|SQL,Master,Online University S,Generic Tech Co 90|Generic Tech Co 66|Generic Tech Co 81,CFA|PMP,B1,123736.50911478838,New York,Yes,96,2022-12-07
96,5.0,Software Developer Intern,REST API|Tailwind|MySQL|Spring|Scikit-learn|Nginx,Master,Online University E,Generic Tech Co 99|Snapp|Generic Tech Co 19|Meta|Generic Tech Co 38,,A2,82430.04938752788,Remote,,95,2023-08-07
97,,junior ml engineer,JavaScript|Next.js|Power BI|Django|MySQL|YAML,Master,Online University W,Generic Tech Co 55|Generic Tech Co 11|Generic Tech Co 16|Generic Tech Co 37,,Upper-Intermediate,97684.13012366595,Qom,No,81,2020-07-14
98,4.0,software engineer,TensorFlow|Grafana|Nginx|Docker|Prometheus|dbt|Django|TypeScript|NumPy|HTML,PhD,Online University T,Generic Tech Co 63|Cafe Bazaar|Generic Tech Co 66,,B1,66999.59919159685,Austin,Yes,88,2022-10-22
99,3.0,Junior ML Engineer,GitLab-CI|Python|Tailwind|Airflow|Jenkins|Kubernetes|Angular|SASS|Scikit-learn|NumPy|HTML,Bachelor,Generic State University 54,Generic Tech Co 55|Generic Tech Co 18,,Elementary,67376.97006244666,Madrid,No,89,2021-03-01
100,12.0,Data Scientist,Python|C#|Power BI|Ansible|SASS|MySQL|Kubernetes,Master,Generic State University 100,Generic Tech Co 36|Generic Tech Co 30|Generic Tech Co 89,CISSP|AWS-DevOps,,142929.20740672664,Vancouver,,90,2024-01-19
101,,Software Engineer,React|TensorFlow|RabbitMQ|MongoDB|HTML,PhD,,,Docker-Certified,C2,111383.60862249348,New York,No,62,2022-11-02
102,7.0,Lead Architect,Azure|Power BI|Docker|Ansible|Angular|Django|Pandas|Vue,Master,,Apple|Generic Tech Co 58|Generic Tech Co 4,AWS-CSA,A1,78286.03664473657,Mashhad,Yes,89,2024-02-05
103,2.0,Data Scientist,Agile|C#|Grafana|Docker|Redis|Spring|Linux,High School,,Generic Tech Co 61|Apple|Netflix|Generic Tech Co 34|Generic Tech Co 48,Agile-Certified,Native,81847.52377962258,Seattle,,88,2023-08-01
104,1.0,Full Stack Developer,TensorFlow|Redux|Python|Agile|C#|Tableau|Flask|Docker|LightGBM|PySpark|Kubernetes,Bachelor,,,,A2,71739.02870723125,Tokyo,No,57,2020-02-13
105,2.0,Solutions Architect,Svelte|Power BI|NumPy|PyTorch,Master,Online University Y,Generic Tech Co 35|Generic Tech Co 57|Generic Tech Co 25|Generic Tech Co 81|Generic Tech Co 71|Generic Tech Co 62,GCP-ACE|HIPAA|Azure-AZ900|PMP,B1,60158.91514884193,Shiraz,,100,2024-01-19
106,3.0,VP Engineering,Pandas|Python|Docker|Grafana,Bachelor,Sharif University of Technology,Generic Tech Co 46|Snapp|Generic Tech Co 41|Generic Tech Co 28|Amazon|Generic Tech Co 3,,C1,110679.4844768181,Mashhad,No,86,2023-01-15
